query	query_start	query_end	Genome	chromosome	subject_start	subject_end	size	similarity
TraesCS4A02G058900_CDS	1	185	IWGSC	chr4A	52605747	52605931	185	100
TraesCS4A02G058900_CDS	302	426	IWGSC	chr4A	52616844	52616968	125	100
TraesCS4A02G058900_CDS	422	513	IWGSC	chr4A	52617164	52617255	92	100
TraesCS4A02G058900_CDS	185	262	IWGSC	chr4A	52611968	52612045	78	100
TraesCS4A02G058900_CDS	262	303	IWGSC	chr4A	52616602	52616643	42	100
TraesCS4A02G058900_CDS	1	185	spelta	chr4A	52231267	52231451	185	100
TraesCS4A02G058900_CDS	302	426	spelta	chr4A	52245366	52245490	125	100
TraesCS4A02G058900_CDS	422	513	spelta	chr4A	52245686	52245777	92	100
TraesCS4A02G058900_CDS	185	262	spelta	chr4A	52237488	52237565	78	100
TraesCS4A02G058900_CDS	262	303	spelta	chr4A	52245124	52245165	42	100
TraesCS4A02G058900_CDS	1	185	mace	chr4A	52047307	52047491	185	100
TraesCS4A02G058900_CDS	302	426	mace	chr4A	52061419	52061543	125	100
TraesCS4A02G058900_CDS	422	513	mace	chr4A	52061739	52061830	92	100
TraesCS4A02G058900_CDS	185	262	mace	chr4A	52053528	52053605	78	100
TraesCS4A02G058900_CDS	262	303	mace	chr4A	52061177	52061218	42	100
TraesCS4A02G058900_CDS	1	185	arinalrfor	chr4A	52799365	52799549	185	100
TraesCS4A02G058900_CDS	302	426	arinalrfor	chr4A	52813508	52813632	125	100
TraesCS4A02G058900_CDS	422	513	arinalrfor	chr4A	52813828	52813919	92	100
TraesCS4A02G058900_CDS	185	262	arinalrfor	chr4A	52805586	52805663	78	100
TraesCS4A02G058900_CDS	262	303	arinalrfor	chr4A	52813266	52813307	42	100
TraesCS4A02G058900_CDS	1	185	lancer	chr4A	52859043	52859227	185	100
TraesCS4A02G058900_CDS	302	426	lancer	chr4A	52873149	52873273	125	98.4
TraesCS4A02G058900_CDS	422	513	lancer	chr4A	52873469	52873560	92	100
TraesCS4A02G058900_CDS	185	262	lancer	chr4A	52865273	52865350	78	100
TraesCS4A02G058900_CDS	262	303	lancer	chr4A	52872907	52872948	42	100
TraesCS4A02G058900_CDS	1	185	mattis	chr4A	52222597	52222781	185	100
TraesCS4A02G058900_CDS	302	426	mattis	chr4A	52236746	52236870	125	100
TraesCS4A02G058900_CDS	422	513	mattis	chr4A	52237066	52237157	92	100
TraesCS4A02G058900_CDS	185	262	mattis	chr4A	52228818	52228895	78	100
TraesCS4A02G058900_CDS	262	303	mattis	chr4A	52236504	52236545	42	100
TraesCS4A02G058900_CDS	1	185	jagger	chr4A	52690408	52690592	185	100
TraesCS4A02G058900_CDS	302	426	jagger	chr4A	52704685	52704809	125	100
TraesCS4A02G058900_CDS	422	513	jagger	chr4A	52705005	52705096	92	100
TraesCS4A02G058900_CDS	185	262	jagger	chr4A	52696629	52696706	78	100
TraesCS4A02G058900_CDS	262	303	jagger	chr4A	52704443	52704484	42	100
TraesCS4A02G058900_CDS	1	185	landmark	chr4A	52968944	52969128	185	100
TraesCS4A02G058900_CDS	302	426	landmark	chr4A	52983332	52983456	125	100
TraesCS4A02G058900_CDS	422	513	landmark	chr4A	52983652	52983743	92	100
TraesCS4A02G058900_CDS	185	262	landmark	chr4A	52975165	52975242	78	100
TraesCS4A02G058900_CDS	262	303	landmark	chr4A	52983090	52983131	42	100
TraesCS4A02G058900_CDS	1	185	julius	chr4A	52768980	52769164	185	100
TraesCS4A02G058900_CDS	302	426	julius	chr4A	52783163	52783287	125	100
TraesCS4A02G058900_CDS	422	513	julius	chr4A	52783483	52783574	92	100
TraesCS4A02G058900_CDS	185	262	julius	chr4A	52775201	52775278	78	100
TraesCS4A02G058900_CDS	262	303	julius	chr4A	52782921	52782962	42	100
TraesCS4A02G058900_CDS	1	185	norin61	chr4A	51915648	51915832	185	100
TraesCS4A02G058900_CDS	302	426	norin61	chr4A	51929747	51929871	125	100
TraesCS4A02G058900_CDS	422	513	norin61	chr4A	51930067	51930158	92	100
TraesCS4A02G058900_CDS	185	262	norin61	chr4A	51921869	51921946	78	100
TraesCS4A02G058900_CDS	262	303	norin61	chr4A	51929505	51929546	42	100
TraesCS4A02G058900_CDS	1	185	stanley	chr4A	53765206	53765390	185	100
TraesCS4A02G058900_CDS	302	426	stanley	chr4A	53779604	53779728	125	100
TraesCS4A02G058900_CDS	422	513	stanley	chr4A	53779924	53780015	92	100
TraesCS4A02G058900_CDS	185	262	stanley	chr4A	53771427	53771504	78	100
TraesCS4A02G058900_CDS	262	303	stanley	chr4A	53779362	53779403	42	100
