Genomes	TotalHSPs	HeightCut(kb)	TotalClusters	ClusterIndex	# of Members	MeanSimilarity	TotalLength/IWGSC	CandidateCluster
IWGSC	8	20	4	1	5	100	1.018	Selected
IWGSC	NA	NA	NA	2	1	95.68	0.361	NA
IWGSC	NA	NA	NA	3	1	95.68	0.361	NA
IWGSC	NA	NA	NA	4	1	91.14	0.154	NA
spelta	10	20	5	1	5	100	1.018	Selected
spelta	NA	NA	NA	2	1	95.68	0.361	NA
spelta	NA	NA	NA	3	1	95.68	0.361	NA
spelta	NA	NA	NA	4	1	95.68	0.361	NA
spelta	NA	NA	NA	5	2	94.38	0.481	NA
mace	8	20	4	1	5	100	1.018	Selected
mace	NA	NA	NA	2	1	95.68	0.361	NA
mace	NA	NA	NA	3	1	95.68	0.361	NA
mace	NA	NA	NA	4	1	91.14	0.154	NA
arinalrfor	8	20	4	1	5	100	1.018	Selected
arinalrfor	NA	NA	NA	2	1	95.68	0.361	NA
arinalrfor	NA	NA	NA	3	1	95.68	0.361	NA
arinalrfor	NA	NA	NA	4	1	91.14	0.154	NA
lancer	9	20	4	1	5	99.68	1.018	Selected
lancer	NA	NA	NA	2	2	94.49	0.515	NA
lancer	NA	NA	NA	3	1	95.68	0.361	NA
lancer	NA	NA	NA	4	1	95.68	0.361	NA
mattis	8	20	4	1	5	100	1.018	Selected
mattis	NA	NA	NA	2	1	95.68	0.361	NA
mattis	NA	NA	NA	3	1	95.68	0.361	NA
mattis	NA	NA	NA	4	1	91.14	0.154	NA
jagger	8	20	4	1	5	100	1.018	Selected
jagger	NA	NA	NA	2	1	95.68	0.361	NA
jagger	NA	NA	NA	3	1	95.68	0.361	NA
jagger	NA	NA	NA	4	1	91.14	0.154	NA
landmark	8	20	4	1	5	100	1.018	Selected
landmark	NA	NA	NA	2	1	95.68	0.361	NA
landmark	NA	NA	NA	3	1	95.68	0.361	NA
landmark	NA	NA	NA	4	1	91.14	0.154	NA
julius	8	20	4	1	5	100	1.018	Selected
julius	NA	NA	NA	2	1	95.68	0.361	NA
julius	NA	NA	NA	3	1	95.68	0.361	NA
julius	NA	NA	NA	4	1	91.14	0.154	NA
norin61	8	20	4	1	5	100	1.018	Selected
norin61	NA	NA	NA	2	1	95.68	0.361	NA
norin61	NA	NA	NA	3	1	95.68	0.361	NA
norin61	NA	NA	NA	4	1	91.14	0.154	NA
stanley	8	20	4	1	5	100	1.018	Selected
stanley	NA	NA	NA	2	1	95.68	0.361	NA
stanley	NA	NA	NA	3	1	95.68	0.361	NA
stanley	NA	NA	NA	4	1	91.14	0.154	NA
