spelta	julius	landmark	stanley	arinalrfor	mattis	norin61	lancer	IWGSC	jagger	mace
spelta	1	1	0.98	0.98	1	1	1	1	1.18	0.99	1
julius	1	1	0.99	0.99	1.01	1.01	1.01	1.01	1.14	1	1.01
landmark	1.02	1.01	1	1	1.02	1.01	1.02	1.02	1.15	1	1.02
stanley	1.02	1.01	1	1	1.02	1.01	1.02	1.02	1.15	1	1.01
arinalrfor	1	0.99	0.98	0.98	1	1	1	1	1.14	0.99	1
mattis	1	0.99	0.99	0.99	1	1	1.01	1	1.14	0.99	1
norin61	1	0.99	0.98	0.98	1	0.99	1	1	1.17	0.99	1
lancer	1	0.99	0.98	0.98	1	1	1	1	1.18	0.99	1
IWGSC	0.82	0.83	0.82	0.81	0.83	0.83	0.82	0.82	1	0.82	0.83
jagger	1.01	1	1	1	1.01	1.01	1.01	1.01	1.15	1	1.01
mace	1	0.99	0.98	0.99	1	1	1	1	1.13	0.99	1
